Task [link],Category,Status,Priority [status],Owner,Tickets [link|r],Automation
Update Google Chrome to v123.0.6179 - Eng 004,Remediation,Pending,Critical,MK Maria Kim,11,AI
Update Mozilla Firefox to v123.0.6180 - IT 007,Remediation,Completed,High,RB Riley Brooks,3,Manual
Update Microsoft Edge to v123.0.6181 - IT 007,Remediation,Completed,High,RB Riley Brooks,—,SOAR
Update Microsoft Edge to v123.0.6182 - Finance 001,Remediation,Pending,High,MK Maria Kim,13,Manual
Update Mozilla Firefox to v123.0.6183 - Sales 006,Remediation,In Progress,High,AL Alex Lee,1,SOAR
Update Google Chrome to v123.0.6184 - IT 007,Remediation,In Progress,Critical,RB Riley Brooks,7,Manual
Update Google Chrome to v123.0.6185 - IT 007,Remediation,Pending,Critical,JD John Davis,15,AI
Update Microsoft Edge to v123.0.6186 - Finance 001,Remediation,Completed,Medium,AL Alex Lee,2,Manual
Update Mozilla Firefox to v123.0.6187 - Sales 006,Remediation,Completed,Critical,RB Riley Brooks,15,Manual
Update Google Chrome to v123.0.6188 - Finance 001,Remediation,In Progress,Critical,JD John Davis,—,Manual
Update Google Chrome to v123.0.6189 - HR 002,Remediation,Pending,Medium,MK Maria Kim,2,AI
Update Google Chrome to v123.0.6190 - IT 003,Remediation,In Progress,Critical,SC Sarah Chen,8,Manual
Update Mozilla Firefox to v123.0.6191 - Eng 004,Remediation,Completed,Medium,MK Maria Kim,9,AI
Update Mozilla Firefox to v123.0.6192 - Sales 006,Remediation,Completed,Medium,AL Alex Lee,14,Manual
Update Microsoft Edge to v123.0.6193 - Sales 006,Remediation,In Progress,High,JD John Davis,12,Manual
Update Microsoft Edge to v123.0.6194 - IT 003,Remediation,Completed,Medium,AL Alex Lee,12,SOAR
Update Microsoft Edge to v123.0.6195 - IT 007,Remediation,In Progress,Critical,MK Maria Kim,—,Manual
Update Mozilla Firefox to v123.0.6196 - Finance 001,Remediation,In Progress,Critical,AL Alex Lee,3,Manual
Update Google Chrome to v123.0.6197 - Sales 006,Remediation,In Progress,High,JD John Davis,—,AI
Update Google Chrome to v123.0.6198 - Sales 006,Remediation,In Progress,Critical,SC Sarah Chen,14,Manual
Update Google Chrome to v124.0.6199 - IT 003,Remediation,Completed,Medium,JD John Davis,2,Manual
